scientific	common	links	image	url	thumbnail	order	family	type
Erynnis funeralis	Funereal Duskywing	erynnis-funeralis	images/mojave-insects/erynnis-funeralis.jpg	mojave-insects/erynnis-funeralis.html	images/mojave-insects-thumbnails/erynnis-funeralis-t.jpg	Lepidoptera (Butterflies and Moths)	Nymphalidae (Brush-footed Butterflies)	Butterfly
Halictus ligatus	Ligated Furrow Bee	halictus-ligatus	images/mojave-insects/halictus-ligatus.jpg	mojave-insects/halictus-ligatus.html	images/mojave-insects-thumbnails/halictus-ligatus-t.jpg	"Hymenoptera (Wasps, Bees and Ants)"	Halictidae (Sweat Bees)	Bee
Hippodamia convergens	Convergent Lady Beetle	hippodamia-convergens	images/mojave-insects/hippodamia-convergens.jpg	mojave-insects/hippodamia-convergens.html	images/mojave-insects-thumbnails/hippodamia-convergens-t.jpg	Coleoptera (Beetles)	Coccinellidae (Ladybugs or Ladybirds)	Beetle
Hyles lineata	White-lined Sphinx	hyles-lineata	images/mojave-insects/hyles-lineata.jpg	mojave-insects/hyles-lineata.html	images/mojave-insects-thumbnails/hyles-lineata-t.jpg	Lepidoptera (Butterflies and Moths)	Nymphalidae (Brush-footed Butterflies)	Moth
Juriniopsis adusta	Bristly Flower Fly	juriniopsis-adusta	images/mojave-insects/juriniopsis-adusta.jpg	mojave-insects/juriniopsis-adusta.html	images/mojave-insects-thumbnails/juriniopsis-adusta-t.jpg	Diptera (Flies)	Tachinidae (Tachinid Flies)	Fly
Libellula saturata	Flame Skimmer	libellula-saturata	images/mojave-insects/libellula-saturata.jpg	mojave-insects/libellula-saturata.html	images/mojave-insects-thumbnails/libellula-saturata-t.jpg	Odonata (Dragonflies and Damselflies)	"Libellulidae (Chasers, Darters, Skimmers and Perchers)"	Dragonfly
Loxosceles deserta	Desert Recluse Spider	loxosceles-deserta	images/mojave-insects/loxosceles-deserta.jpg	mojave-insects/loxosceles-deserta.html	images/mojave-insects-thumbnails/loxosceles-deserta-t.jpg	Araneae (Spiders)	Sicariidae (Venomous Spiders)	Spider
Periplaneta lateralis	Turkestan Cockroach	periplaneta-lateralis	images/mojave-insects/periplaneta-lateralis.jpg	mojave-insects/periplaneta-lateralis.html	images/mojave-insects-thumbnails/periplaneta-lateralis-t.jpg	Blattodea (Cockroaches and Termites)	Blattidae (Cockroaches)	Cockroach
Adejeania vexatrix	Tachinid Fly	adejeania-vexatrix	images/mojave-insects/adejeania-vexatrix.jpg	mojave-insects/adejeania-vexatrix.html	images/mojave-insects-thumbnails/adejeania-vexatrix-t.jpg	Diptera (Flies)	Tachinidae (Tachinid Flies)	Fly
Brassicogethes aeneus	Common Pollen Beetle	brassicogethes-aeneus	images/mojave-insects/brassicogethes-aeneus.jpg	mojave-insects/brassicogethes-aeneus.html	images/mojave-insects-thumbnails/brassicogethes-aeneus-t.jpg	Coleoptera (Beetles)	Nitidulidae (Sap Beetles)	Beetle
Celastrina echo	Echo Azure	celastrina-echo	images/mojave-insects/celastrina-echo.jpg	mojave-insects/celastrina-echo.html	images/mojave-insects-thumbnails/celastrina-echo-t.jpg	Lepidoptera (Butterflies and Moths)	Lycaenidae (Gossamer-winged Butterflies)	Butterfly
Ischnomera excavata	False Blister Beetle	ischnomera-excavata	images/mojave-insects/ischnomera-excavata.jpg	mojave-insects/ischnomera-excavata.html	images/mojave-insects-thumbnails/ischnomera-excavata-t.jpg	Coleoptera (Beetles)	Oedemeridae (False Blister Beetles)	Beetle
Lasioglossum sisymbrii	Tansy Mustard Sweat Bee	lasioglossum-sisymbrii	images/mojave-insects/lasioglossum-sisymbrii.jpg	mojave-insects/lasioglossum-sisymbrii.html	images/mojave-insects-thumbnails/lasioglossum-sisymbrii-t.jpg	"Hymenoptera (Wasps, Bees and Ants)"	Halictidae (Sweat Bees)	Bee
Mydas ventralis	Mydas Fly	mydas-ventralis	images/mojave-insects/mydas-ventralis.jpg	mojave-insects/mydas-ventralis.html	images/mojave-insects-thumbnails/mydas-ventralis-t.jpg	Diptera (Flies)	Mydidae (Mydas Flies)	Fly
