name	scientific	link	url	family	family-common	color	type	image	location																						
Desert Almond	Prunus fasciculata	prunus-fasciculata	mojave-plants-shrubs/prunus-fasciculata.html	Rosaceae	Rose	white	Shrub	images/mojave-plants-thumbnails/prunus-fasciculata-t.jpg	oc																						
Turtleback	Psathyrotes annua	psathyrotes-annua	mojave-plants-perennials/psathyrotes-annua.html	Asteraceae	Sunflower	"yellow, purple"	Perennial	images/mojave-plants-thumbnails/psathyrotes-annua-t.jpg																							
Castor Bean Plant	Ricinus communis	ricinus-communis	mojave-plants-weeds/ricinus-communis.html	Euphorbiaceae	Spurge	"red, yellow"	Weed	images/mojave-plants-thumbnails/ricinus-communis-t.jpg																							
Canaigre Dock	Rumex hymenosepalus	rumex-hymenosepalus	mojave-plants-weeds/rumex-hymenosepalus.html	Polygonaceae	Buckwheat	"pink, green"	Weed	images/mojave-plants-thumbnails/rumex-hymenosepalus-t.jpg	oc																						
Broad-leaved Dock	Rumex obtusifolius	rumex-obtusifolius	mojave-plants-weeds/rumex-obtusifolius.html	Polygonaceae	Buckwheat	red	Weed	images/mojave-plants-thumbnails/rumex-obtusifolius-t.jpg																							
Russian Prickley Thistle	Salsola tragus	salsola-tragus	mojave-plants-weeds/salsola-tragus.html	Amaranthaceae	Amaranth	"pink, white"	Weed	images/mojave-plants-thumbnails/salsola-tragus-t.jpg																							
Dorr's Sage	Salvia dorrii	salvia-dorrii	mojave-plants-shrubs/salvia-dorrii.html	Lamiaceae	Sage	"blue, purple"	Shrub	images/mojave-plants-thumbnails/salvia-dorrii-t.jpg	oc																						
Desert Senna	Senna covesii	senna-covesii	mojave-plants-perennials/senna-covesii.html	Fabaceae	Pea	yellow	Perennial	images/mojave-plants-thumbnails/senna-covesii-t.jpg																							
Rocky Mountain Goldenrod	Solidago multiradiata	solidago-multiradiata	mojave-plants-perennials/solidago-multiradiata.html	Asteraceae	Sunflower	yellow	Perennial	images/mojave-plants-thumbnails/solidago-multiradiata-t.jpg																							
Desert Princes’ Plume	Stanleya pinnata	stanleya-pinnata	mojave-plants-perennials/stanleya-pinnata.html	Brassicaceae	Mustard	yellow	Perennial	images/mojave-plants-thumbnails/stanleya-pinnata-t.jpg																							
