scientific	common	links	image	url	thumbnail	order	family	
Brachygastra mellifica	Mexican Honey Wasp	brachygastra-mellifica	images/mojave-insects/brachygastra-mellifica.jpg	mojave-insects/brachygastra-mellifica.html	images/mojave-insects-thumbnails/brachygastra-mellifica-t.jpg	"Hymenoptera (Wasps, Bees, Ants)"	Vespidae (Wasps)	
Danaus gilippus	Queen Butterfly	danaus-gilippus	images/mojave-insects/danaus-gilippus.jpg	mojave-insects/danaus-gilippus.html	images/mojave-insects-thumbnails/danaus-gilippus-t.jpg	Lepidoptera (Butterflies and Moths)	Nymphalidae (Brush-footed Butterflies)	
Danaus plexippus	Monarch Butterfly	danaus-plexippus	images/mojave-insects/danaus-plexippus.jpg	mojave-insects/danaus-plexippus.html	images/mojave-insects-thumbnails/danaus-plexippus-t.jpg	Lepidoptera (Butterflies and Moths)	Nymphalidae (Brush-footed Butterflies)	
Dielis tolteca	Toltec Scoliid Wasp	dielis-tolteca	images/mojave-insects/dielis-tolteca.jpg	mojave-insects/dielis-tolteca.html	images/mojave-insects-thumbnails/dielis-tolteca-t.jpg	"Hymenoptera (Wasps, Bees, and Ants)"	Scoliidae (Scoliid Wasps)	
Dione vanillae	Gulf Fritillary	dione-vanillae	images/mojave-insects/dione-vanillae.jpg	mojave-insects/dione-vanillae.html	images/mojave-insects-thumbnails/dione-vanillae-t.jpg	"Lepidoptera (Butterflies, and Moths)"	Nymphalidae (Brush-footed Butterflies)	
Eurema nicippe	Sleepy Orange	eurema-nicippe	images/mojave-insects/eurema-nicippe.jpg	mojave-insects/eurema-nicippe.html	images/mojave-insects-thumbnails/eurema-nicippe-t.jpg	Lepidoptera (Butterflies and Moths)	Pieridae (Whites and Sulfers)	
Leptotes marina	Marine Blue	leptotes-marina	images/mojave-insects/leptotes-marina.jpg	mojave-insects/leptotes-marina.html	images/mojave-insects-thumbnails/leptotes-marina-t.jpg	"Lepidoptera (Butterflies, and Moths)"	Lycaenidae (Gossamer-winged Butterflies)	
Libellula pulchella	Twelve-spotted Skimmer	libellula-pulchella	images/mojave-insects/libellula-pulchella.jpg	mojave-insects/libellula-pulchella.html	images/mojave-insects-thumbnails/libellula-pulchella-t.jpg	Odonata (Dragonflies and Damselflies)	Libellulidae (Skimmers)	
Neoscona oaxacensis	Western Spotted Orbweaver	neoscona-oaxacensis	images/mojave-insects/neoscona-oaxacensis.jpg	mojave-insects/neoscona-oaxacensis.html	images/mojave-insects-thumbnails/neoscona-oaxacensis-t.jpg	Araneae (Spiders)	Araneidae (Orb-weaver Spiders)	
Nymphalis antiopa	Mourning Cloak Butterfly	nymphalis-antiopa	images/mojave-insects/nymphalis-antiopa.jpg	mojave-insects/nymphalis-antiopa.html	images/mojave-insects-thumbnails/nymphalis-antiopa-t.jpg	Lepidoptera (Butterflies and Moths)	Nymphalidae (Brush-footed Butterflies)	
Ochlodes yuma	Yuma Skipper	ochlodes-yuma	images/mojave-insects/ochlodes-yuma.jpg	mojave-insects/ochlodes-yuma.html	images/mojave-insects-thumbnails/ochlodes-yuma-t.jpg	Lepidoptera (Butterflies and Moths)	Hesperiidae (Skippers)	
Papilio machaon	Baird's Swallowtail	papilio-machaon	images/mojave-insects/papilio-machaon.jpg	mojave-insects/papilio-machaon.html	images/mojave-insects-thumbnails/papilio-machaon-t.jpg	Lepidoptera (Butterflies and Moths)	Papilionidae (Swallowtails)	
Pepsis thisbe	Tarantula Hawk	pepsis-thisbe	images/mojave-insects/pepsis-thisbe.jpg	mojave-insects/pepsis-thisbe.html	images/mojave-insects-thumbnails/pepsis-thisbe-t.jpg	"Hymenoptera (Wasps, Bees, Ants)"	Pompilidae (Spider Wasp)	
