name	scientific	url	family	family-common	color	type	image	location											
Sweet Yellow Clover	Melilotus officinalis	mojave-plants-perennials/melilotus-officinalis.html	Fabaceae	Pea	yellow	Perennial	images/mojave-plants-thumbnails/melilotus-officinalis-t.jpg												
Spiny Menodora	Mendora spinescens 	mojave-plants-shrubs/menodora-spinescens.html	Oleaceae 	Olive	white	Shrub	images/mojave-plants-thumbnails/mendora-spinescens-t.jpg	oc											
Aspen Bluebells	Mertensia arizonica	mojave-plants-perennials/mertensia-arizonica.html	Boraginaceae	Forget-me-not	blue	Perennial	images/mojave-plants-thumbnails/mertensia-arizonica-t.jpg												
Streamside Bluebells	Mertensia ciliata	mojave-plants-perennials/mertensia-ciliata.html	Boraginaceae	Forget-me-not	blue	Perennial	images/mojave-plants-thumbnails/mertensia-ciliata-t.jpg												
Colorado Four O’clock	Mirabilis multiflora	mojave-plants-perennials/mirabilis-multiflora.html	Nyctaginaceae	Four O’clock	purple	Perennial	images/mojave-plants-thumbnails/mirabilis-multiflora-t.jpg	oc											
Tree Tobacco	Nicotiana glauca	mojave-plants-weeds/nicotiana-glauca.html	Solanaceae	Nightshades	yellow	Weed	images/mojave-plants-thumbnails/nicotiana-glauca-t.jpg												
Tufted Evening Primrose	Oenothera caespitosa	mojave-plants-perennials/oenothera-caespitosa.html	Onagraceae	Evening Primrose	white, pink, purple	Perennial	images/mojave-plants-thumbnails/oenothera-caespitosa-t.jpg												
Scarlet Bee Blossom	Oenothera suffrutescens	mojave-plants-perennials/oenothera-suffrutescens.html	Onagraceae	Evening Primrose	white, pink, red	Perennial	images/mojave-plants-thumbnails/oenothera-suffrutescens-t.jpg												
Parri’s Goldenrod	Oreochrysum parryi	mojave-plants-perennials/oreochrysum-parryi	Asteraceae	Sunflower	yellow	Perennial	images/mojave-plants-thumbnails/oreochrysum-parryi-t.jpg												
Mountain Locoweed	Oxytropis oreophila	mojave-plants-perennials/oxytropis-oreophila.html	Fabaceae	Pea	violet blue	Perennial	images/mojave-plants-thumbnails/oxytropis-oreophila-t.jpg												
Palos Verde	Parkinsonia florida	mojave-plants-trees/parkinsonia-florida.html	Fabaceae	Pea	yellow	Tree	images/mojave-plants-thumbnails/parkinsonia-florida-t.jpg												
Rydberg Penstemon	Penstemon rydbergii	mojave-plants-perennials/penstemon-rydbergii.html	Plantaginaceae	Plantain	purple	Perennial	images/mojave-plants-thumbnails/penstemon-rydbergii-t.jpg												
Royal Penstemon	Penstemon speciosus	mojave-plants-perennials/penstemon-speciosus.html	Plantaginaceae	Plantain	blue, purple	Perennial	images/mojave-plants-thumbnails/penstemon-speciosus-t.jpg												
Mat Rock Spiraea	Petrophytum caespitosum	mojave-plants-perennials/petrophytum-caespitosum.html	Rosaceae	Rose	white	Perennial	images/mojave-plants-thumbnails/petrophytum-caespitosum-t.jpg												
Fremont’s Phacelia	Phacelia fremontii	mojave-plants-annuals/phacelia-fremontii.html	Asteraceae	Sunflower	purple yellow	Annual	images/mojave-plants-thumbnails/phacelia-fremontii-t.jpg												
Wooly Cinquefoil	Potentilla hippiana	mojave-plants-perennials/potentilla-hippiana.html	Rosaceae	Rose	yellow	Perennial	images/mojave-plants-thumbnails/potentilla-hippiana-t.jpg												
Desert Almond	Prunus fasciculata	mojave-plants-shrubs/prunus-fasciculata.html	Rosaceae	Rose	white	Shrub	images/mojave-plants-thumbnails/prunus-fasciculata-t.jpg	oc											
Turtleback	Psathyrotes annua	mojave-plants-perennials/psathyrotes-annua.html	Asteraceae	Sunflower	yellow, purple	Perennial	images/mojave-plants-thumbnails/psathyrotes-annua-t.jpg												
Castor Bean Plant	Ricinus communis	mojave-plants-weeds/ricinus-communis.html	Euphorbiaceae	Spurge	red, yellow	Weed	images/mojave-plants-thumbnails/ricinus-communis-t.jpg												
Canaigre Dock	Rumex hymenosepalus	mojave-plants-weeds/rumex-hymenosepalus.html	Polygonaceae	Buckwheat	pink, green	Weed	images/mojave-plants-thumbnails/rumex-hymenosepalus-t.jpg	oc											
