name	scientific	url	family	family-common	color	type	image	location											
Fendler’s Sandwort	Eremogone fendleri	mojave-plants-perennials/eremogone-fendleri.html	Caryophyllaceae	Carnation	White	Perennial	images/mojave-plants-thumbnails/eremogone-fendleri-t.jpg												
Common Mullein	Verbascum thapsus	construction.html	Scrophulariaceae	Figwort	Yellow	Perennial	images/mojave-plants-thumbnails/verbascum-thapsus-t.jpg												
Clokey’s Egg Milkvetch	Astragalus oophorus var. clokeyanus	construction.html	Fabaceae	Pea	"Purple, White"	Perennial	images/mojave-plants-thumbnails/astragalus-oophorus-var.-clokeyanus-t.jpg												
Hoary Aster	Dieteria canescens	construction.html	Asteraceae	Sunflower	Purple	Perennial	images/mojave-plants-thumbnails/dieteria-canescens-t.jpg												
Mat Rock Spiraea	Petrophytum caespitosum	construction.html	Rosaceae	Rose	White	Perennial	images/mojave-plants-thumbnails/petrophytum-caespitosum-t.jpg												
Fendler’s Sandmat	Chamaesyce fendleri	construction.html	Euphorbiaceae	Spurge	"White, Red, Yellow, Green"	Perennial	images/mojave-plants-thumbnails/chamaesyce-fendleri-t.jpg												
Western Columbine	Aquilegia formosa	construction.html	Ranunculaceae	Buttercup	"Red, Yellow"	Perennial	images/mojave-plants-thumbnails/aquilegia-formosa-t.jpg												
Desert Princes’ Plume	Stanleya pinnata	mojave-plants-perennials/stanleya-pinnata	Brassicaceae	Mustard	Yellow	Perennial	images/mojave-plants-thumbnails/stanleya-pinnata-t.jpg												
Broom Snakeweed	Gutierrezia sarothrae	construction.html	Asteraceae	Sunflower	Yellow	Perennial	images/mojave-plants-thumbnails/gutierrezia-sarothrae-t.jpg												
Charleston Mountain Angelica	Angelica scabrida	mojave-plants-perennials/angelica-scabrida	Apiaceae	Parsley	White	Perennial	images/mojave-plants-thumbnails/angelica-scabrida-t.jpg												
Tufted Evening Primrose	Oenothera caespitosa	construction.html	Onagraceae	Evening Primrose	"White, Pink, Violet, Purple"	Perennial	images/mojave-plants-thumbnails/oenothera-caespitosa-t.jpg												
Scarlet Bee Blossom	Oenothera suffrutescens	construction.html	Onagraceae	Evening Primrose	"White, Pink, Red"	Perennial	images/mojave-plants-thumbnails/oenothera-suffrutescens-t.jpg												
Nuttall’s Linanthus	Leptosiphon nuttallii ssp. pubescens	construction.html	Polemoniaceae	Phlox	White	Perennial	images/mojave-plants-thumbnails/leptosiphon-nuttallii-ssp.-pubescens-t.jpg												
Nevada Goldeneye	Heliomeris multiflora var. nevadensis	construction.html	Asteraceae	Sunflower	Yellow	Perennial	images/mojave-plants-thumbnails/heliomeris-multiflora-var.-nevadensis-t.jpg												
Sulphurflower Buckwheat	Eriogonum umbellatum	construction.html	Polygonaceae	Knotweed	"Yellow, Red, White"	Perennial	images/mojave-plants-thumbnails/eriogonum-umbellatum-t.jpg												
Southwestern Mock Vervain	Glandularia gooddingii	construction.html	Verbenaceae	Verbena	"Purple, Pink"	Perennial	images/mojave-plants-thumbnails/glandularia-gooddingii-t.jpg												
Clokey’s Paintbrush	Castilleja martini var. clokeyi	construction.html	Orobanchaceae	Broomrape	"Red, Yellow, Green"	Perennial	images/mojave-plants-thumbnails/castilleja-martini-var.-clokeyi-t.jpg												
Lewis Flax	Linum lewisii	construction.html	Linaceae	Flax	"White, Blue, Purple"	Perennial	images/mojave-plants-thumbnails/linum-lewisii-t.jpg												
Apache Plume	Fallugia paradoxa	construction.html	Rosaceae	Rose	White	Perennial	images/mojave-plants-thumbnails/fallugia-paradoxa-t.jpg												
Slender Buckwheat	Eriogonum microtheca	construction.html	Polygonaceae	Knotweed	"white, red , pink , yellow"	Perennial	images/mojave-plants-thumbnails/eriogonum-microtheca-t.jpg												
Fremont’s Desert-Thorn	Lycium fremontii	construction.html	Solanaceae	Nightshades	"Purple, White"	Perennial	images/mojave-plants-thumbnails/lycium-fremontii-t.jpg												
Desert Rock Nettle	Eucnide urens	construction.html	Loasaceae	Loasa	"White, Yellow"	Perennial	images/mojave-plants-thumbnails/eucnide-urens-t.jpg												
Telescoping Mustard	Thelypodium integrifolium	construction.html	Brassicaceae	Mustard	"White, Purple"	Perennial	images/mojave-plants-thumbnails/thelypodium-integrifolium-t.jpg												
Browneyes	Chylismia claviformis	construction.html	Onagraceae	Evening Primrose	White	Annual	images/mojave-plants-thumbnails/chylismia-claviformis-t.jpg												
Turtleback	Psathyrotes annua	construction.html	Asteraceae	Sunflower	"Yellow, Purple"	Perennial	images/mojave-plants-thumbnails/psathyrotes-annua-t.jpg												
Mullein	Verbascum thapsus	construction.html	Scrophulariaceae	Figwort	Yellow	Perennial	images/mojave-plants-thumbnails/verbascum-thapsus-t.jpg												
Broad-leaved Dock	Rumex obtusifolius	construction.html	Polygonaceae	Knotweed	Red	Perennial	images/mojave-plants-thumbnails/rumex-obtusifolius-t.jpg												
Castor Bean Plant	Ricinus communis	construction.html	Euphorbiaceae	Spurge	"Red, Yellow"	Perennial	images/mojave-plants-thumbnails/ricinus-communis-t.jpg												
Tall Whitetop	Lepidium latifolium	construction.html	Brassicaceae	Mustard	White	Weed	images/mojave-plants-thumbnails/lepidium-latifolium-t.jpg												
Tree Tobacco	Nicotiana glauca	construction.html	Solanaceae	Nightshades	Yellow	Perennial	images/mojave-plants-thumbnails/nicotiana-glauca-t.jpg												
Russian Prickley Thistle	Kali tragus	construction.html	Chenopodiaceae	Goosefoot	"Pink, White"	Annual	images/mojave-plants-thumbnails/kali-tragus-t.jpg												
Rough Paintbrush 	Castilleja scabrida	mojave-plants-perennials/castilleja-scabrida.html	Orobanchaceae	Broomrape	yellow green	Perennial	images/mojave-plants-thumbnails/castilleja-scabrida-t.jpg	oc											
Winterfat	Krascheninnikovia lanata	mojave-plants-perennials/krascheninnikovia-lanata.html	Amaranthaceae	Amaranth	white	Perennial	images/mojave-plants-thumbnails/krascheninnikovia-lanata-t.jpg	oc											
Desert Paintbrush	Castilleja chromosa	mojave-plants-shrub/castilleja-chromosa.html	Orobanchaceae	Broomrape	yellow green	Shrubs	images/mojave-plants-thumbnails/castilleja-chromosa-t.jpg	oc											
Blackbrush	Coleogyne ramosissima	mojave-plants-shrubs/coleogyne-ramosissima.html	Roseacea	Rose	yellow	Shrubs	images/mojave-plants-thumbnails/coleogyne-ramosissima-t.jpg	oc											
