name	scientific	url	family	family-common	color	type	image	location											
Nuttall’s Linanthus	Leptosiphon nuttallii ssp. pubescens	mojave-plants-perennials/leptosiphon-nuttallii.html	Polemoniaceae	Phlox	white	Perennial	images/mojave-plants-thumbnails/leptosiphon-nuttallii-ssp.-pubescens-t.jpg												
Nevada Goldeneye	Heliomeris multiflora var. nevadensis	mojave-plants-perennials/heliomeris-multiflora.html	Asteraceae	Sunflower	yellow	Perennial	images/mojave-plants-thumbnails/heliomeris-multiflora-var.-nevadensis-t.jpg												
Sulphurflower Buckwheat	Eriogonum umbellatum	mojave-plants-perennials/eriogonum-umbellatum.html	Polygonaceae	Knotweed	"yellow, red, white"	Perennial	images/mojave-plants-thumbnails/eriogonum-umbellatum-t.jpg												
Southwestern Mock Vervain	Glandularia gooddingii	mojave-plants-perennials/glandularia-gooddingii.html	Verbenaceae	Verbena	"purple, pink"	Perennial	images/mojave-plants-thumbnails/glandularia-gooddingii-t.jpg												
Clokey’s Paintbrush	Castilleja martini var. clokeyi	mojave-plants-perennials/castilleja-martini.html	Orobanchaceae	Broomrape	"red, yellow, green"	Perennial	images/mojave-plants-thumbnails/castilleja-martini-var.-clokeyi-t.jpg												
Lewis Flax	Linum lewisii	mojave-plants-perennials/linum-lewisii.html	Linaceae	Flax	"white, blue, purple"	Perennial	images/mojave-plants-thumbnails/linum-lewisii-t.jpg												
Apache Plume	Fallugia paradoxa	mojave-plants-shrubs/fallugia-paradoxa.html	Rosaceae	Rose	white	Shrub	images/mojave-plants-thumbnails/fallugia-paradoxa-t.jpg												
Slender Buckwheat	Eriogonum microtheca	mojave-plants-perennials/eriogonum-microtheca.html	Polygonaceae	Knotweed	"white, red , pink , yellow"	Perennial	images/mojave-plants-thumbnails/eriogonum-microtheca-t.jpg												
Fremont’s Desert-Thorn	Lycium fremontii	mojave-plants-perennials/lycium-fremontii.html	Solanaceae	Nightshades	"purple, white"	Perennial	images/mojave-plants-thumbnails/lycium-fremontii-t.jpg												
Desert Rock Nettle	Eucnide urens	mojave-plants-perennials/eucnide-urens.html	Loasaceae	Loasa	"white, yellow"	Perennial	images/mojave-plants-thumbnails/eucnide-urens-t.jpg												
Telescoping Mustard	Thelypodium integrifolium	mojave-plants-perennials/thelypodium-integrifolium.html	Brassicaceae	Mustard	"white, purple"	Perennial	images/mojave-plants-thumbnails/thelypodium-integrifolium-t.jpg												
Turtleback	Psathyrotes annua	mojave-plants-perennials/psathyrotes-annua.html	Asteraceae	Sunflower	"yellow, purple"	Perennial	images/mojave-plants-thumbnails/psathyrotes-annua-t.jpg												
